Fecha,total_internacional,aerea,terrestre,maritima,america_centro,america_norte,europa
2022-02-01,101324.60000000001,80539,113364.60000000001,448,146716.60000000001,31340,9011
2022-03-01,139826,106141,121745,852,163872,44999,10288
2022-04-01,156215,121028,171620,3902,223294,48861,11837
2022-05-01,135954,111839,148174,897,198203,45596,7827
2022-06-01,148457,123396,145970,0,198702,56586,5841
2022-07-01,185857,124663,181583,0,231554,54309,10376
2022-08-01,175633,108896,188706,0,232241,42553,11412
2022-09-01,132134,103209,143255,0,195304,33194,6998
2022-10-01,150644,122939,158999,2975,218504,40404,9073
2022-11-01,179631,131410,187283,6238,244172,41749,20420
2022-12-01,230709,158463,241803,10042,310516,62274,12829
2023-01-01,258166.18821264658,76401,181765.18821264658,682,178469.32493866165,52108.601156867822,13967.670450450451
2023-02-01,198751.85766927942,75406,123345.8576692794,529,119271.23096515842,51865.951935629702,15507.741078651703
2023-03-01,251839.50267324003,92733,159106.50267324006,705,153935.42964046483,66572.559638624138,17234.144163381854
2023-04-01,283179.25565578463,79354,203825.25565578465,674,198941.59208471162,55382.231609026094,14254.783529445063
2023-05-01,213191.03891840694,71802,141389.03891840694,545,138774.22764908767,51272.85906832217,9737.3985654434637
2023-06-01,224580.17382775573,87780,136800.17382775573,598,135248.71404810695,68588.037773876771,7405.3571428571431
2023-07-01,257626.95044792976,99032,158594.95044792976,624,166137.9578242136,70692.992623716156,9324
2023-08-01,264514.08794636687,79152,185362.08794636687,592,182500.96842178889,55583.138067283602,12202.287448233263
2023-09-01,218486.47810497988,67306,151180.47810497988,346,154869.75130743629,41730.119457500514,6954.2752987581034
2023-10-01,164499.38846570507,59326,105173.38846570507,279,109570.68390564105,35869.926806526804,8852.7194202038609
2023-11-01,255894.27623440052,89140,166754.27623440052,538,167001.90696512978,54451.450003232261,16684.333029931116
2023-12-01,327097.61316611955,108408,218689.61316611952,505,221296.68974899902,79127.062095140034,13745.922191545675
2024-01-01,292731.86680673156,96039,196692.86680673156,572,197656.39235007428,63914.014986960305,15782.69696969697
2024-02-01,265990.67321318097,98871,167119.67321318097,635,160647.30192161701,69065.909211938357,19031.189352352882
2024-03-01,322310.39400228957,108491,213819.39400228957,717,206697.74679208134,81207.71720844385,17712.824049383435
2024-04-01,240988.81729405138,87857,153131.81729405138,552,152614.55714114258,60460.321312080916,13101.103428950486
2024-05-01,238807.95481510271,87997,150810.95481510271,523,152267.11845642317,61292.180364416949,9831.8226609292542
2024-06-01,234781.22686199367,104464,130317.22686199367,555,130714.24281410879,82320.167130488553,7704.6264412058526
2024-07-01,266974.95506929053,110379,156595.95506929053,537,157324.79808869041,82205.100734098771,13120.956335301429
2024-08-01,282101.83101094456,88635,193466.83101094453,560,191992.30000509688,61032.010210578876,14104.951861028403
2024-09-01,215658.8098341591,69269,146389.8098341591,321,151186.9140386449,41562.995795514202,7823.6999999999998
2024-10-01,249665.7008373391,81187,168478.7008373391,386,170604.37848348546,50582.224491905246,12275.375957186499
2024-11-01,302674.076910829,97137,205537.07691082897,601,201390.66899286208,63735.577115699765,19800.691152858992
2024-12-01,361749.6884796847,113027,248722.6884796847,646,242238.76669915067,87399.591657715719,16340.19678948498
2025-01-01,289543.59825538553,101124,188419.59825538553,603,187170.21490193796,68397.964501082679,17867.352185698226
2025-02-01,254428.88643334265,92703,161725.88643334265,612,155564.88401069562,63957.000584805966,19359.484355323595
2025-03-01,278538.25098417036,107244,171294.25098417036,595,167729.99481481058,75852.92901828367,18719.984924185359
2025-04-01,300287.69107359939,93466,206821.69107359942,937,203524.058390878,66079.279329984638,14988.54023056482
2025-05-01,247981.92597209421,87753,160228.92597209421,576,160973.28389823987,62372.211235196657,9765.477667851861
2025-06-01,254190.09615352159,99411,154779.09615352159,492,155037.64178094812,77123.919410362869,7502.4419797544797
2025-07-01,283388.69878661179,117361,166027.69878661176,606,165620.43786941576,86624.769498084497,14115.050901149934
2025-08-01,293780.52439304692,90643,203137.52439304692,566,199695.16911306878,64687.517986601939,14330.169898699036
2025-09-01,218069.51122057904,70416,147653.51122057904,366,154323.22999085515,43141.469555287222,7069.1222804972804
2025-10-01,255920.93232213068,90000,165920.93232213068,393,168768.28081863796,58936.753242921237,11742.760792540792
2025-11-01,310585.52010717517,111567,199018.52010717519,534,194775.19206550196,73826.48112406474,22824.349925127284
2025-12-01,365573.02180679789,127283,238290.02180679791,664,230511.15194255428,98379.805237231019,17977.197960345951
2026-01-01,300664.07527322107,113435,187229.07527322107,644,188957.17965209973,73593.521438105076,19157.905408312701
2026-02-01,236844.11361811563,106821,130023.11361811563,758,129776.30345186002,70561.892857142855,20117.641085336531
2026-03-01,291160.36570034793,127540,163620.36570034793,672,157705.69437418517,91979.384914443872,21565.286411718895
2026-04-01,260951.04561236833,102029,158922.04561236833,720,157872.58450827387,69651.815225073631,15281.335701002256
2026-05-01,241312.29525905842,95804,145508.29525905842,603,146233.21372086005,67069.110185827623,10869.584810481276
2026-06-01,245687.58097717003,98211,147476.58097717003,576,146093.47989936126,74834.618172677001,7855.7704051317496
